,,,#,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,Unnamed: 15,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1.0,USA,96626337,,1072946 ,,92494183.0,,3059208.0,3713.0,,,1102830809.0,, ,North America,,,,,,,,,
2.0,India,44462445,,528007 ,,43880464.0,,53974.0,698.0,31546.0,375.0,887379274.0,629589.0,1409458588 ,Asia,3226692,,,38.0,,,,,
3.0,France,34592737,,154189 ,,34079816.0,,358732.0,869.0,527433.0,2351.0,271490188.0,4139392.0,65586967 ,Europe,24250,,,5470.0,,,,,
4.0,Brazil,34517770,,684427 ,,33502447.0,,330896.0,8318.0,159923.0,3171.0,63776166.0,295480.0,215839289 ,South America,63153,,,1533.0,,,,,
5.0,Germany,32247828,,147762 ,,31447800.0,58700.0,652266.0,1406.0,382240.0,1751.0,122332384.0,1450031.0,84365377 ,Europe,35711,,,7731.0,,,,,
6.0,S. Korea,23606740,37548.0,27149 ,56.0,21834203.0,178401.0,1745388.0,562.0,459589.0,529.0,15804065.0,307682.0,51364934 ,Asia,218923,731,1.0,33980.0,,,,,
7.0,UK,23521792,,188242 ,,23232131.0,8012.0,101419.0,146.0,342583.0,2742.0,522526476.0,7610343.0,68660041 ,Europe,33650,,,1477.0,,,,,
8.0,Italy,21938269,,175832 ,,21159271.0,,603166.0,190.0,364006.0,2917.0,242997209.0,4031882.0,60268924 ,Europe,33430,,,10008.0,,,,,
9.0,Russia,19771113,41690.0,384787 ,76.0,18777401.0,30703.0,608925.0,2300.0,135353.0,2634.0,273400000.0,1871702.0,146070251 ,Europe,73801,285,0.5,4169.0,,,,,
10.0,Japan,19450222,105010.0,41054 ,225.0,17779534.0,159304.0,1629634.0,519.0,154813.0,327.0,72534842.0,577339.0,125636475 ,Asia,630602,836,2.0,12971.0,,,,,
11.0,Turkey,16797750,,100840 ,,,,,975.0,194623.0,1168.0,162743369.0,1885584.0,86309287 ,Asia,58561,,,4341.0,,,,,
12.0,Spain,13352019,,112804 ,,13128337.0,,110878.0,339.0,285336.0,2411.0,471036328.0,10066153.0,46794075 ,Europe,44150,,,2369.0,,,,,
13.0,Vietnam,11418894,,43120 ,,10211563.0,,1164211.0,89.0,115064.0,435.0,85826548.0,864840.0,99239846 ,Asia,923011,,,11731.0,,,,,
14.0,Australia,10075747,9020.0,14078 ,11.0,9953744.0,,107925.0,89.0,385421.0,539.0,78590386.0,3006263.0,26142215 ,Australia/Oceania,318570,345,0.4,4128.0,,,,,
15.0,Argentina,9678225,,129711 ,,9499559.0,4456.0,48955.0,456.0,209958.0,2814.0,35716069.0,774818.0,46096093 ,South America,53551,,,1062.0,,,,,
16.0,Netherlands,8388688,,22605 ,,8327160.0,2475.0,38923.0,33.0,487229.0,1313.0,21107399.0,1225952.0,17217152 ,Europe,27621,,,2261.0,,,,,
17.0,Iran,7533087,,143995 ,,7307292.0,,81800.0,867.0,87262.0,1668.0,53730223.0,622403.0,86327006 ,Asia,116002,,,948.0,,,,,
18.0,Mexico,7041181,990.0,329622 ,5.0,6298349.0,3554.0,413210.0,4798.0,53393.0,2500.0,18215566.0,138129.0,131873576 ,North America,194007,8,0.04,3133.0,,,,,
19.0,Indonesia,6374882,2340.0,157668 ,21.0,6177525.0,4444.0,39689.0,2771.0,22783.0,563.0,107081078.0,382702.0,279802763 ,Asia,4417753,8,0.08,142.0,,,,,
20.0,Colombia,6302809,,141646 ,,6128460.0,,32703.0,342.0,121067.0,2721.0,36358694.0,698396.0,52060296 ,South America,83681,,,628.0,,,,,
21.0,Poland,6187928,480.0,117153 ,,5335960.0,,734815.0,2782.0,163890.0,3103.0,36999043.0,979934.0,37756671 ,Europe,63221,13,,19462.0,,,,,
22.0,Taiwan,5467059,24103.0,10094 ,31.0,4917634.0,23080.0,539331.0,,228648.0,422.0,24569545.0,1027571.0,23910325 ,Asia,423691,1008,1.0,22556.0,,,,,
23.0,Portugal,5425891,,24865 ,,5334423.0,1476.0,66603.0,61.0,535509.0,2454.0,44633269.0,4405089.0,10132207 ,Europe,24070,,,6573.0,,,,,
24.0,Ukraine,5056378,,108841 ,,4926210.0,777.0,21327.0,177.0,117144.0,2522.0,19521252.0,452259.0,43163860 ,Europe,93972,,,494.0,,,,,
25.0,Austria,4924440,,19442 ,,4843228.0,,61770.0,61.0,540082.0,2132.0,195742096.0,21467796.0,9117941 ,Europe,24690,,,6775.0,,,,,
